buzzword,year,month,interest
cryptocurrency,2021,4,54.0
cryptocurrency,2021,5,89.0
cryptocurrency,2021,6,40.0
cryptocurrency,2021,7,25.0
cryptocurrency,2021,8,30.0
cryptocurrency,2021,9,30.0
cryptocurrency,2021,10,44.0
cryptocurrency,2021,11,58.0
cryptocurrency,2021,12,35.0
cryptocurrency,2022,1,40.0
cryptocurrency,2022,2,35.0
cryptocurrency,2022,3,26.0
cryptocurrency,2022,4,23.0
cryptocurrency,2022,5,27.0
cryptocurrency,2022,6,20.0
cryptocurrency,2022,7,15.0
cryptocurrency,2022,8,14.0
cryptocurrency,2022,9,14.0
cryptocurrency,2022,10,11.0
cryptocurrency,2022,11,15.0
cryptocurrency,2022,12,12.0
cryptocurrency,2023,1,12.0
cryptocurrency,2023,2,11.0
cryptocurrency,2023,3,11.0
cryptocurrency,2023,4,11.0
cryptocurrency,2023,5,9.0
cryptocurrency,2023,6,9.0
cryptocurrency,2023,7,9.0
cryptocurrency,2023,8,9.0
cryptocurrency,2023,9,8.0
cryptocurrency,2023,10,8.0
cryptocurrency,2023,11,9.0
cryptocurrency,2023,12,10.0
cryptocurrency,2024,1,10.0
cryptocurrency,2024,2,10.0
cryptocurrency,2024,3,13.0
cryptocurrency,2024,4,9.0
cryptocurrency,2024,5,8.0
cryptocurrency,2024,6,8.0
cryptocurrency,2024,7,9.0
cryptocurrency,2024,8,8.0
cryptocurrency,2024,9,8.0
cryptocurrency,2024,10,7.0
cryptocurrency,2024,11,13.0
cryptocurrency,2024,12,15.0
blockchain,2015,1,1.0
blockchain,2015,2,1.0
blockchain,2015,3,1.0
blockchain,2015,4,1.0
blockchain,2015,5,1.0
blockchain,2015,6,1.0
blockchain,2015,7,2.0
blockchain,2015,8,2.0
blockchain,2015,9,2.0
blockchain,2015,10,3.0
blockchain,2015,11,3.0
blockchain,2015,12,4.0
blockchain,2016,1,3.0
blockchain,2016,2,4.0
blockchain,2016,3,4.0
blockchain,2016,4,5.0
blockchain,2016,5,6.0
blockchain,2016,6,6.0
blockchain,2016,7,5.0
blockchain,2016,8,5.0
blockchain,2016,9,6.0
blockchain,2016,10,7.0
blockchain,2016,11,8.0
blockchain,2016,12,8.0
blockchain,2017,1,8.0
blockchain,2017,2,9.0
blockchain,2017,3,10.0
blockchain,2017,4,10.0
